date,sales
2023-05-12,30.69
2023-05-13,31.32
2023-05-14,39.95
2023-05-15,36.84
2023-05-16,41.65
2023-05-17,30.43
2023-05-18,29.21
2023-05-19,33.7
2023-05-20,31.58
2023-05-21,39.98
2023-05-22,44.29
2023-05-23,32.95
2023-05-24,34.1
2023-05-25,31.73
2023-05-26,34.37
2023-05-27,32.33
2023-05-28,36.1
2023-05-29,42.7
2023-05-30,39.43
2023-05-31,35.07
2023-06-01,32.76
2023-06-02,30.75
2023-06-03,37.51
2023-06-04,41.71
2023-06-05,39.76
2023-06-06,44.91
2023-06-07,36.5
2023-06-08,28.91
2023-06-09,35.53
2023-06-10,34.66
2023-06-11,43.96
2023-06-12,46.15
2023-06-13,37.62
2023-06-14,38.74
2023-06-15,34.5
2023-06-16,36.8
2023-06-17,44.04
2023-06-18,41.63
2023-06-19,41.18
2023-06-20,38.18
2023-06-21,34.17
2023-06-22,33.8
2023-06-23,36.13
2023-06-24,39.95
2023-06-25,45.62
2023-06-26,44.25
2023-06-27,45.98
2023-06-28,36.6
2023-06-29,42.96
2023-06-30,37.75
2023-07-01,37.32
2023-07-02,40.7
2023-07-03,46.43
2023-07-04,41.72
2023-07-05,40.3
2023-07-06,36.98
2023-07-07,36.42
2023-07-08,38.12
2023-07-09,40.13
2023-07-10,44.41
2023-07-11,45.73
2023-07-12,39.57
2023-07-13,32.6
2023-07-14,37.93
2023-07-15,42.58
2023-07-16,42.8
2023-07-17,46.98
2023-07-18,44.1
2023-07-19,36.27
2023-07-20,38.18
2023-07-21,39.86
2023-07-22,45.45
2023-07-23,49.38
2023-07-24,43.16
2023-07-25,41.88
2023-07-26,42.01
2023-07-27,39.41
2023-07-28,40.49
2023-07-29,54.53
2023-07-30,48.7
2023-07-31,51.47
2023-08-01,48.33
2023-08-02,43.19
2023-08-03,37.7
2023-08-04,41.99
2023-08-05,41.42
2023-08-06,47.04
2023-08-07,47.37
2023-08-08,46.48
2023-08-09,48.95
2023-08-10,33.81
2023-08-11,42.55
2023-08-12,39.67
2023-08-13,47.11
2023-08-14,52.87
2023-08-15,47.2
2023-08-16,39.54
2023-08-17,38.03
2023-08-18,43.29
2023-08-19,43.08
2023-08-20,49.94
2023-08-21,50.51
2023-08-22,45.82
2023-08-23,49.98
2023-08-24,42.85
2023-08-25,35.95
2023-08-26,46.6
2023-08-27,48.08
2023-08-28,53.7
2023-08-29,46.17
2023-08-30,43.97
2023-08-31,43.23
2023-09-01,45.39
2023-09-02,43.21
2023-09-03,49.83
2023-09-04,50.48
2023-09-05,47.35
2023-09-06,50.38
2023-09-07,43.7
2023-09-08,39.78
2023-09-09,50.34
2023-09-10,57.97
2023-09-11,55.77
2023-09-12,45.52
2023-09-13,44.4
2023-09-14,47.06
2023-09-15,42.21
2023-09-16,49.68
2023-09-17,54.69
2023-09-18,50.67
2023-09-19,50.67
2023-09-20,36.9
2023-09-21,40.95
2023-09-22,44.34
2023-09-23,45.38
2023-09-24,58.04
2023-09-25,49.92
2023-09-26,50.3
2023-09-27,47.78
2023-09-28,49.12
2023-09-29,41.56
2023-09-30,53.38
2023-10-01,53.94
2023-10-02,52.04
2023-10-03,53.78
2023-10-04,48.76
2023-10-05,43.76
2023-10-06,46.85
2023-10-07,49.5
2023-10-08,55.02
2023-10-09,57.74
2023-10-10,57.92
2023-10-11,45.22
2023-10-12,52.73
2023-10-13,41.55
2023-10-14,50.97
2023-10-15,57.21
2023-10-16,57.37
2023-10-17,52.06
2023-10-18,49.07
2023-10-19,45.62
2023-10-20,46.41
2023-10-21,54.75
2023-10-22,57.29
2023-10-23,55.21
2023-10-24,57.4
2023-10-25,51.39
2023-10-26,50.31
2023-10-27,50.84
2023-10-28,50.48
2023-10-29,55.31
2023-10-30,60.3
2023-10-31,57.3
2023-11-01,51.17
2023-11-02,48.99
2023-11-03,53.55
2023-11-04,51.96
2023-11-05,59.4
2023-11-06,58.22
2023-11-07,55.58
2023-11-08,55.3
2023-11-09,51.89
2023-11-10,52.93
2023-11-11,58.42
2023-11-12,58.59
2023-11-13,61.65
2023-11-14,56.07
2023-11-15,53.75
2023-11-16,49.79
2023-11-17,51.55
2023-11-18,57.06
2023-11-19,56.84
2023-11-20,66.65
2023-11-21,54.76
2023-11-22,49.9
2023-11-23,54.42
2023-11-24,54.4
2023-11-25,57.92
2023-11-26,61.95
2023-11-27,61.1
2023-11-28,55.85
2023-11-29,54.54
2023-11-30,49.69
2023-12-01,55.72
2023-12-02,56.37
2023-12-03,58.36
2023-12-04,60.94
2023-12-05,60.55
2023-12-06,53.39
2023-12-07,50.02
2023-12-08,54.29
2023-12-09,58.32
2023-12-10,60.08
2023-12-11,61.26
2023-12-12,60.78
2023-12-13,51.51
2023-12-14,49.03
2023-12-15,52.18
2023-12-16,57.71
2023-12-17,63.3
2023-12-18,67.87
2023-12-19,63.42
2023-12-20,56.14
2023-12-21,53.97
2023-12-22,52.09
2023-12-23,59.07
2023-12-24,62.27
2023-12-25,65.18
2023-12-26,59.14
2023-12-27,58.95
2023-12-28,59.39
2023-12-29,55.54
2023-12-30,61.1
2023-12-31,65.98
